Service_Request_Type,Month,Count_,Request_Category,ObjectId
Replace a Signal Indication that is Not Working,12 - SEP,0,Traffic Signals,244
Traffic Signal Needing Physical Repair,12 - SEP,0,Traffic Signals,245
Yield Sign Missing/Damaged,09 - JUN,0,Street Signs,246
Traffic Calming Request,09 - JUN,0,Traffic Calming,247
Add a Left Turn Indication at a Signal,09 - JUN,0,Traffic Signals,248
Check a Dark Signalized Intersection,09 - JUN,0,Traffic Signals,249
Check the Timing of an Approach,09 - JUN,0,Traffic Signals,250
Install a New Signalized Intersection,09 - JUN,0,Traffic Signals,251
Investigate a Signalized Intersection in Flash,09 - JUN,0,Traffic Signals,252
Replace a Signal Indication that is Not Working,09 - JUN,0,Traffic Signals,253
Traffic Signal Needing Physical Repair,09 - JUN,0,Traffic Signals,254
Basketball Goal on City ROW,10 - JUL,0,Other,255
Bush or Objects Blocking Sight View,10 - JUL,0,Other,256
Dumpster Permit,10 - JUL,0,Other,257
Repair Existing Sign,02 - NOV,7,Street Signs,258
Handicap Parking,10 - JUL,0,Other,259
Replace Missing Sign,02 - NOV,2,Street Signs,260
Basketball Goal on City ROW,06 - MAR,3,Other,261
Change Speed Limit,10 - JUL,0,Traffic Calming,262
School Zone Sign,02 - NOV,0,Street Signs,263
Bush or Objects Blocking Sight View,06 - MAR,0,Other,264
Dark Area Near Existing Street Light,10 - JUL,0,Street Lights,265
Sign Relocation,02 - NOV,0,Street Signs,266
Dumpster Permit,06 - MAR,0,Other,267
Install a New Street Light,10 - JUL,0,Street Lights,268
Stop Sign Missing/Damaged,02 - NOV,1,Street Signs,269
Handicap Parking,06 - MAR,0,Other,270
Street Light Out,10 - JUL,0,Street Lights,271
Yield Sign Missing/Damaged,02 - NOV,0,Street Signs,272
Change Speed Limit,06 - MAR,0,Traffic Calming,273
Leaning Light Pole,10 - JUL,0,Street Lights,274
Dark Area Near Existing Street Light,06 - MAR,0,Street Lights,275
Refresh an Existing Marking,10 - JUL,0,Roadway Marking,276
Add a New Marking,10 - JUL,0,Roadway Marking,277
Remove a Marking,10 - JUL,0,Roadway Marking,278
Change Sign Type,10 - JUL,0,Street Signs,279
Install Multi-way Stop,10 - JUL,0,Street Signs,280
Install New Sign,10 - JUL,0,Street Signs,281
Neighborhood Watch Sign,10 - JUL,0,Street Signs,282
Repair Existing Sign,10 - JUL,0,Street Signs,283
Replace Missing Sign,10 - JUL,0,Street Signs,284
School Zone Sign,10 - JUL,0,Street Signs,285
Sign Relocation,10 - JUL,0,Street Signs,286
Stop Sign Missing/Damaged,10 - JUL,0,Street Signs,287
Yield Sign Missing/Damaged,10 - JUL,0,Street Signs,288
Traffic Calming Request,10 - JUL,0,Traffic Calming,289
Add a Left Turn Indication at a Signal,10 - JUL,0,Traffic Signals,290
Check a Dark Signalized Intersection,10 - JUL,0,Traffic Signals,291
