OBJECTID,Date,Date_X,Date_Y,Type,Current_Year,Previous_Year
2753,11/20,,,Inbound Commuters,,29237
2754,11/20,,,Out-of-Market Visitors,,72814
2755,11/20,,,Residents,,148673
2756,11/20,,,Total,,250724
2757,11/21,,,Inbound Commuters,,29786
2758,11/21,,,Out-of-Market Visitors,,84717
2759,11/21,,,Residents,,148384
2760,11/21,,,Total,,262887
2761,11/22,,,Inbound Commuters,,28608
2762,11/22,,,Out-of-Market Visitors,,99588
2763,11/22,,,Residents,,148665
2764,11/22,,,Total,,276861
2765,11/23,,,Inbound Commuters,,14269
2766,11/23,,,Out-of-Market Visitors,,92462
2767,11/23,,,Residents,,141607
2768,11/23,,,Total,,248338
2769,11/24,,,Inbound Commuters,,12533
2770,11/24,,,Out-of-Market Visitors,,75435
2771,11/24,,,Residents,,146089
2772,11/24,,,Total,,234057
2773,11/25,,,Inbound Commuters,,27861
2774,11/25,,,Out-of-Market Visitors,,74908
2775,11/25,,,Residents,,147094
2776,11/25,,,Total,,249863
2777,11/26,,,Inbound Commuters,,26976
2778,11/26,,,Out-of-Market Visitors,,94554
2779,11/26,,,Residents,,146164
2780,11/26,,,Total,,267694
2781,11/27,,,Inbound Commuters,,24484
2782,11/27,,,Out-of-Market Visitors,,117071
2783,11/27,,,Residents,,143007
2784,11/27,,,Total,,284562
2785,11/28,,,Inbound Commuters,,9628
2786,11/28,,,Out-of-Market Visitors,,98710
2787,11/28,,,Residents,,138373
2788,11/28,,,Total,,246711
2789,11/29,,,Inbound Commuters,,14809
2790,11/29,,,Out-of-Market Visitors,,115487
2791,11/29,,,Residents,,135967
2792,11/29,,,Total,,266263
2793,11/30,,,Inbound Commuters,,11931
2794,11/30,,,Out-of-Market Visitors,,88241
2795,11/30,,,Residents,,139026
2796,11/30,,,Total,,239198
2797,12/01,,,Inbound Commuters,,13410
2798,12/01,,,Out-of-Market Visitors,,89405
2799,12/01,,,Residents,,148477
2800,12/01,,,Total,,251292
2801,12/02,,,Inbound Commuters,,28999
2802,12/02,,,Out-of-Market Visitors,,65287
2803,12/02,,,Residents,,148652
2804,12/02,,,Total,,242938
2805,12/03,,,Inbound Commuters,,29092
2806,12/03,,,Out-of-Market Visitors,,69874
2807,12/03,,,Residents,,146145
2808,12/03,,,Total,,245111
2809,12/04,,,Inbound Commuters,,29929
2810,12/04,,,Out-of-Market Visitors,,69121
2811,12/04,,,Residents,,145380
2812,12/04,,,Total,,244430
2813,12/05,,,Inbound Commuters,,29686
2814,12/05,,,Out-of-Market Visitors,,72527
2815,12/05,,,Residents,,144519
2816,12/05,,,Total,,246732
2817,12/06,,,Inbound Commuters,,27590
2818,12/06,,,Out-of-Market Visitors,,82509
2819,12/06,,,Residents,,145127
2820,12/06,,,Total,,255226
2821,12/07,,,Inbound Commuters,,15425
2822,12/07,,,Out-of-Market Visitors,,78961
2823,12/07,,,Residents,,142589
2824,12/07,,,Total,,236975
2825,12/08,,,Inbound Commuters,,12431
2826,12/08,,,Out-of-Market Visitors,,63731
2827,12/08,,,Residents,,145377
2828,12/08,,,Total,,221539
2829,12/09,,,Inbound Commuters,,27936
2830,12/09,,,Out-of-Market Visitors,,64185
2831,12/09,,,Residents,,145900
2832,12/09,,,Total,,238021
2833,12/10,,,Inbound Commuters,,28735
2834,12/10,,,Out-of-Market Visitors,,65556
2835,12/10,,,Residents,,147558
2836,12/10,,,Total,,241849
2837,12/11,,,Inbound Commuters,,29864
2838,12/11,,,Out-of-Market Visitors,,75230
2839,12/11,,,Residents,,147665
2840,12/11,,,Total,,252759
2841,12/12,,,Inbound Commuters,,29185
2842,12/12,,,Out-of-Market Visitors,,73586
2843,12/12,,,Residents,,147818
2844,12/12,,,Total,,250589
2845,12/13,,,Inbound Commuters,,27195
2846,12/13,,,Out-of-Market Visitors,,94379
2847,12/13,,,Residents,,148217
2848,12/13,,,Total,,269791
2849,12/14,,,Inbound Commuters,,15426
2850,12/14,,,Out-of-Market Visitors,,93110
2851,12/14,,,Residents,,144335
2852,12/14,,,Total,,252871
2853,12/15,,,Inbound Commuters,,11938
2854,12/15,,,Out-of-Market Visitors,,77356
2855,12/15,,,Residents,,146844
2856,12/15,,,Total,,236138
2857,12/16,,,Inbound Commuters,,27566
2858,12/16,,,Out-of-Market Visitors,,71564
2859,12/16,,,Residents,,149079
2860,12/16,,,Total,,248209
2861,12/17,,,Inbound Commuters,,28671
2862,12/17,,,Out-of-Market Visitors,,77607
2863,12/17,,,Residents,,146995
2864,12/17,,,Total,,253273
2865,12/18,,,Inbound Commuters,,28282
2866,12/18,,,Out-of-Market Visitors,,82078
2867,12/18,,,Residents,,148718
2868,12/18,,,Total,,259078
2869,12/19,,,Inbound Commuters,,28667
2870,12/19,,,Out-of-Market Visitors,,78230
2871,12/19,,,Residents,,146214
2872,12/19,,,Total,,253111
2873,12/20,,,Inbound Commuters,,26510
2874,12/20,,,Out-of-Market Visitors,,95002
2875,12/20,,,Residents,,148122
2876,12/20,,,Total,,269634
2877,12/21,,,Inbound Commuters,,15346
2878,12/21,,,Out-of-Market Visitors,,98680
2879,12/21,,,Residents,,143313
2880,12/21,,,Total,,257339
2881,12/22,,,Inbound Commuters,,12929
2882,12/22,,,Out-of-Market Visitors,,82091
2883,12/22,,,Residents,,144351
2884,12/22,,,Total,,239371
2885,12/23,,,Inbound Commuters,,24365
2886,12/23,,,Out-of-Market Visitors,,92635
2887,12/23,,,Residents,,142888
2888,12/23,,,Total,,259888
2889,12/24,,,Inbound Commuters,,17037
2890,12/24,,,Out-of-Market Visitors,,86981
2891,12/24,,,Residents,,140767
2892,12/24,,,Total,,244785
2893,12/25,,,Inbound Commuters,,7981
2894,12/25,,,Out-of-Market Visitors,,62141
2895,12/25,,,Residents,,136111
2896,12/25,,,Total,,206233
2897,12/26,,,Inbound Commuters,,18436
2898,12/26,,,Out-of-Market Visitors,,94938
2899,12/26,,,Residents,,139943
2900,12/26,,,Total,,253317
2901,12/27,,,Inbound Commuters,,20017
2902,12/27,,,Out-of-Market Visitors,,97704
2903,12/27,,,Residents,,141437
2904,12/27,,,Total,,259158
2905,12/28,,,Inbound Commuters,,12152
2906,12/28,,,Out-of-Market Visitors,,92062
2907,12/28,,,Residents,,141640
2908,12/28,,,Total,,245854
2909,12/29,,,Inbound Commuters,,11544
2910,12/29,,,Out-of-Market Visitors,,81076
2911,12/29,,,Residents,,142827
2912,12/29,,,Total,,235447
2913,12/30,,,Inbound Commuters,,24113
2914,12/30,,,Out-of-Market Visitors,,84108
2915,12/30,,,Residents,,143276
2916,12/30,,,Total,,251497
2917,12/31,,,Inbound Commuters,,21491
2918,12/31,,,Out-of-Market Visitors,,71778
2919,12/31,,,Residents,,141635
2920,12/31,,,Total,,234904
