OBJECTID,Date,Date_X,Date_Y,Type,Current_Year,Previous_Year
1750,03/14,,,Out-of-Market Visitors,116413,95446
1751,03/14,,,Residents,148700,148448
1752,03/14,,,Total,293632,274661
1753,03/15,,,Inbound Commuters,11806,27607
1754,03/15,,,Out-of-Market Visitors,72071,114036
1755,03/15,,,Residents,140572,148911
1756,03/15,,,Total,224449,290554
1757,03/16,,,Inbound Commuters,12412,14190
1758,03/16,,,Out-of-Market Visitors,92510,127153
1759,03/16,,,Residents,145659,144237
1760,03/16,,,Total,250581,285580
1761,03/17,,,Inbound Commuters,27978,10973
1762,03/17,,,Out-of-Market Visitors,74784,74419
1763,03/17,,,Residents,143812,146786
1764,03/17,,,Total,246574,232178
1765,03/18,,,Inbound Commuters,28912,27581
1766,03/18,,,Out-of-Market Visitors,72827,73402
1767,03/18,,,Residents,141047,148086
1768,03/18,,,Total,242786,249069
1769,03/19,,,Inbound Commuters,28435,29090
1770,03/19,,,Out-of-Market Visitors,79470,79320
1771,03/19,,,Residents,140317,147024
1772,03/19,,,Total,248222,255434
1773,03/20,,,Inbound Commuters,27578,29359
1774,03/20,,,Out-of-Market Visitors,81106,78893
1775,03/20,,,Residents,137981,145302
1776,03/20,,,Total,246665,253554
1777,03/21,,,Inbound Commuters,25143,30168
1778,03/21,,,Out-of-Market Visitors,109054,88815
1779,03/21,,,Residents,135994,144564
1780,03/21,,,Total,270191,263547
1781,03/22,,,Inbound Commuters,11956,27028
1782,03/22,,,Out-of-Market Visitors,111910,107220
1783,03/22,,,Residents,131035,145591
1784,03/22,,,Total,254901,279839
1785,03/23,,,Inbound Commuters,12138,14765
1786,03/23,,,Out-of-Market Visitors,92765,127263
1787,03/23,,,Residents,141584,143024
1788,03/23,,,Total,246487,285052
1789,03/24,,,Inbound Commuters,27832,12920
1790,03/24,,,Out-of-Market Visitors,79910,98348
1791,03/24,,,Residents,144409,149248
1792,03/24,,,Total,252151,260516
1793,03/25,,,Inbound Commuters,29450,27953
1794,03/25,,,Out-of-Market Visitors,78716,82762
1795,03/25,,,Residents,144646,152690
1796,03/25,,,Total,252812,263405
1797,03/26,,,Inbound Commuters,29226,27962
1798,03/26,,,Out-of-Market Visitors,81064,71086
1799,03/26,,,Residents,145318,152418
1800,03/26,,,Total,255608,251466
1801,03/27,,,Inbound Commuters,28537,29429
1802,03/27,,,Out-of-Market Visitors,89764,87737
1803,03/27,,,Residents,145547,151284
1804,03/27,,,Total,263848,268450
1805,03/28,,,Inbound Commuters,26578,28458
1806,03/28,,,Out-of-Market Visitors,119858,100672
1807,03/28,,,Residents,143756,151635
1808,03/28,,,Total,290192,280765
1809,03/29,,,Inbound Commuters,13877,23687
1810,03/29,,,Out-of-Market Visitors,108119,128237
1811,03/29,,,Residents,139197,149782
1812,03/29,,,Total,261193,301706
1813,03/30,,,Inbound Commuters,12113,12780
1814,03/30,,,Out-of-Market Visitors,85302,124162
1815,03/30,,,Residents,143526,146192
1816,03/30,,,Total,240941,283134
1817,03/31,,,Inbound Commuters,26150,12435
1818,03/31,,,Out-of-Market Visitors,66160,81184
1819,03/31,,,Residents,144648,151967
1820,03/31,,,Total,236958,245586
1821,04/01,,,Inbound Commuters,29892,30387
1822,04/01,,,Out-of-Market Visitors,79263,86498
1823,04/01,,,Residents,146141,154023
1824,04/01,,,Total,255296,270908
1825,04/02,,,Inbound Commuters,29805,31347
1826,04/02,,,Out-of-Market Visitors,79672,83334
1827,04/02,,,Residents,147097,151982
1828,04/02,,,Total,256574,266663
1829,04/03,,,Inbound Commuters,29319,31443
1830,04/03,,,Out-of-Market Visitors,89414,86082
1831,04/03,,,Residents,147187,152311
1832,04/03,,,Total,265920,269836
1833,04/04,,,Inbound Commuters,27521,31380
1834,04/04,,,Out-of-Market Visitors,117262,93184
1835,04/04,,,Residents,146646,151965
1836,04/04,,,Total,291429,276529
1837,04/05,,,Inbound Commuters,13134,29802
1838,04/05,,,Out-of-Market Visitors,110508,109122
1839,04/05,,,Residents,141054,149943
1840,04/05,,,Total,264696,288867
1841,04/06,,,Inbound Commuters,10273,17421
1842,04/06,,,Out-of-Market Visitors,69660,129286
1843,04/06,,,Residents,144714,147353
1844,04/06,,,Total,224647,294060
1845,04/07,,,Inbound Commuters,27052,13880
1846,04/07,,,Out-of-Market Visitors,69622,86627
1847,04/07,,,Residents,146669,151644
1848,04/07,,,Total,243343,252151
1849,04/08,,,Inbound Commuters,29572,30560
1850,04/08,,,Out-of-Market Visitors,76039,76212
1851,04/08,,,Residents,146854,153215
1852,04/08,,,Total,252465,259987
1853,04/09,,,Inbound Commuters,30545,30755
1854,04/09,,,Out-of-Market Visitors,81145,82850
1855,04/09,,,Residents,146069,153456
1856,04/09,,,Total,257759,267061
1857,04/10,,,Inbound Commuters,29521,29462
1858,04/10,,,Out-of-Market Visitors,87361,64896
1859,04/10,,,Residents,145463,154450
1860,04/10,,,Total,262345,248808
1861,04/11,,,Inbound Commuters,28198,30613
1862,04/11,,,Out-of-Market Visitors,106464,85265
1863,04/11,,,Residents,142486,153107
1864,04/11,,,Total,277148,268985
1865,04/12,,,Inbound Commuters,16057,29589
1866,04/12,,,Out-of-Market Visitors,107442,103371
1867,04/12,,,Residents,137911,153256
1868,04/12,,,Total,261410,286216
1869,04/13,,,Inbound Commuters,13524,14050
1870,04/13,,,Out-of-Market Visitors,84741,101230
1871,04/13,,,Residents,142754,148088
1872,04/13,,,Total,241019,263368
1873,04/14,,,Inbound Commuters,29885,13648
1874,04/14,,,Out-of-Market Visitors,75196,83595
1875,04/14,,,Residents,144058,151198
1876,04/14,,,Total,249139,248441
1877,04/15,,,Inbound Commuters,29476,30784
1878,04/15,,,Out-of-Market Visitors,78037,70534
1879,04/15,,,Residents,144358,151485
1880,04/15,,,Total,251871,252803
1881,04/16,,,Inbound Commuters,30794,31304
1882,04/16,,,Out-of-Market Visitors,85635,71844
1883,04/16,,,Residents,141836,151543
1884,04/16,,,Total,258265,254691
1885,04/17,,,Inbound Commuters,28916,30535
1886,04/17,,,Out-of-Market Visitors,94493,79385
1887,04/17,,,Residents,142376,152291
1888,04/17,,,Total,265785,262211
1889,04/18,,,Inbound Commuters,23766,30850
1890,04/18,,,Out-of-Market Visitors,99620,85360
1891,04/18,,,Residents,141212,152330
1892,04/18,,,Total,264598,268540
1893,04/19,,,Inbound Commuters,14147,28758
1894,04/19,,,Out-of-Market Visitors,94660,97487
1895,04/19,,,Residents,137406,150038
1896,04/19,,,Total,246213,276283
1897,04/20,,,Inbound Commuters,11067,14830
1898,04/20,,,Out-of-Market Visitors,77623,89628
1899,04/20,,,Residents,142257,147402
1900,04/20,,,Total,230947,251860
1901,04/21,,,Inbound Commuters,28036,12940
1902,04/21,,,Out-of-Market Visitors,77190,79380
1903,04/21,,,Residents,143728,150562
1904,04/21,,,Total,248954,242882
1905,04/22,,,Inbound Commuters,29196,27395
1906,04/22,,,Out-of-Market Visitors,79949,73160
1907,04/22,,,Residents,143969,153402
1908,04/22,,,Total,253114,253957
1909,04/23,,,Inbound Commuters,29954,30673
1910,04/23,,,Out-of-Market Visitors,82473,78728
